Datos de series

Nacional. Pernoctaciones. Benidorm. Residentes en el extranjero.
Serie
Periodicidad,Mensual
Unidad,Pernoctaciones
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2023M04,141.382,Provisional,
2023M03,134.415,Provisional,
2023M02,134.317,Provisional,
2023M01,149.109,Provisional,
2022M12,136.171,Provisional,
2022M11,127.212,Provisional,
2022M10,160.098,Provisional,
2022M09,142.327,Provisional,
2022M08,147.941,Provisional,
2022M07,131.301,Provisional,
2022M06,124.822,Provisional,
2022M05,136.472,Provisional,
2022M04,117.837,Definitivo,
2022M03,126.618,Definitivo,
2022M02,118.423,Definitivo,
2022M01,123.089,Definitivo,
2021M12,131.126,Definitivo,
2021M11,123.685,Definitivo,
2021M10,146.786,Definitivo,
2021M09,130.272,Definitivo,
2021M08,119.400,Definitivo,
2021M07,107.515,Definitivo,
2021M06,98.311,Definitivo,
2021M05,91.887,Definitivo,
2021M04,90.633,Definitivo,
2021M03,98.280,Definitivo,
2021M02,92.375,Definitivo,
2021M01,106.994,Definitivo,
2020M12,109.620,Definitivo,
2020M11,108.789,Definitivo,
2020M10,111.932,Definitivo,
2020M09,113.571,Definitivo,
2020M08,93.572,Definitivo,
2020M07,95.805,Definitivo,
2020M06,.,Definitivo,
2020M05,.,Definitivo,
2020M04,0,Definitivo,
2020M03,115.785,Definitivo,
2020M02,167.075,Definitivo,
2020M01,162.315,Definitivo,
2019M12,163.388,Definitivo,
2019M11,154.061,Definitivo,
2019M10,188.063,Definitivo,
2019M09,166.509,Definitivo,
2019M08,176.112,Definitivo,
2019M07,157.447,Definitivo,
2019M06,152.717,Definitivo,
2019M05,163.522,Definitivo,
2019M04,137.839,Definitivo,
2019M03,158.483,Definitivo,
2019M02,153.403,Definitivo,
2019M01,165.688,Definitivo,
2018M12,168.182,Definitivo,
2018M11,160.180,Definitivo,
2018M10,196.772,Definitivo,
2018M09,176.992,Definitivo,
2018M08,189.518,Definitivo,
2018M07,172.111,Definitivo,
2018M06,162.109,Definitivo,
2018M05,172.185,Definitivo,
2018M04,149.078,Definitivo,
2018M03,164.825,Definitivo,
2018M02,155.604,Definitivo,
2018M01,176.342,Definitivo,
2017M12,163.693,Definitivo,
2017M11,154.883,Definitivo,
2017M10,187.046,Definitivo,
2017M09,169.158,Definitivo,
2017M08,175.749,Definitivo,
2017M07,161.548,Definitivo,
2017M06,149.148,Definitivo,
2017M05,159.980,Definitivo,
2017M04,139.778,Definitivo,
2017M03,162.972,Definitivo,
2017M02,159.662,Definitivo,
2017M01,174.032,Definitivo,
2016M12,155.777,Definitivo,
2016M11,138.550,Definitivo,
2016M10,175.209,Definitivo,
2016M09,159.136,Definitivo,
2016M08,169.012,Definitivo,
2016M07,162.177,Definitivo,
2016M06,147.100,Definitivo,
2016M05,152.185,Definitivo,
2016M04,140.962,Definitivo,
2016M03,167.466,Definitivo,
2016M02,168.001,Definitivo,
2016M01,174.499,Definitivo,
2015M12,166.091,Definitivo,
2015M11,146.314,Definitivo,
2015M10,171.460,Definitivo,
2015M09,143.415,Definitivo,
2015M08,129.333,Definitivo,
2015M07,120.377,Definitivo,
2015M06,107.918,Definitivo,
2015M05,116.062,Definitivo,
2015M04,119.740,Definitivo,
2015M03,144.531,Definitivo,
2015M02,138.855,Definitivo,
2015M01,148.002,Definitivo,
2014M12,131.467,Definitivo,
2014M11,121.462,Definitivo,
2014M10,130.152,Definitivo,
2014M09,113.441,Definitivo,
2014M08,116.649,Definitivo,
2014M07,102.361,Definitivo,
2014M06,95.135,Definitivo,
2014M05,104.839,Definitivo,
2014M04,108.357,Definitivo,
2014M03,135.736,Definitivo,
2014M02,134.288,Definitivo,
2014M01,142.111,Definitivo,
2013M12,144.072,Definitivo,
2013M11,133.196,Definitivo,
