Fecha,Españoles_V,Extranjeros_V,Españoles_P,Extranjeros_P,Total_Viajeros,Total_Pernoctantes,Total_Españoles,Total_Extranjeros,Total_Turistas
2020-07-31,48634,15304,140533,58655,63938,199188,189167,73959,263126
2020-08-31,85604,22066,285694,88013,107670,373707,371298,110079,481377
2020-09-30,43076,8985,137739,31072,52061,168811,180815,40057,220872
2020-10-31,33428,8286,106338,28015,41714,134353,139766,36301,176067
2020-11-30,9851,2434,21524,8478,12285,30002,31375,10912,42287
2020-12-31,11737,2083,26654,10935,13820,37589,38391,13018,51409
2021-01-31,2713,590,8120,2484,3303,10604,10833,3074,13907
2021-02-28,0,0,0,0,0,0,0,0,0
2021-03-31,7951,867,16719,2006,8818,18725,24670,2873,27543
2021-04-30,16394,1372,31637,3050,17766,34687,48031,4422,52453
2021-05-31,39307,5927,92749,16971,45234,109720,132056,22898,154954
2021-06-30,85539,12968,284914,45772,98507,330686,370453,58740,429193
2021-07-31,144452,30684,534013,119371,175136,653384,678465,150055,828520
2021-08-31,180727,55637,698325,247193,236364,945518,879052,302830,1181882
2021-09-30,90940,43978,395394,238268,134918,633662,486334,282246,768580
2021-10-31,80709,55720,372517,298946,136429,671463,453226,354666,807892
2021-11-30,39001,41003,140171,232144,80004,372315,179172,273147,452319
2021-12-31,42706,21606,128933,129627,64312,258560,171639,151233,322872
2022-01-31,18161,15272,63748,95878,33433,159626,81909,111150,193059
2022-02-28,53645,30898,144516,161119,84543,305635,198161,192017,390178
2022-03-31,57114,63207,252222,337581,120321,589803,309336,400788,710124
2022-04-30,98112,92943,425645,446626,191055,872271,523757,539569,1063326
2022-05-31,79214,113170,359773,577652,192384,937425,438987,690822,1129809
2022-06-30,107781,114942,421670,609092,222723,1030762,529451,724034,1253485
2022-07-31,151627,119064,636757,628949,270691,1265706,788384,748013,1536397
2022-08-31,153078,132341,673735,738699,285419,1412434,826813,871040,1697853
2022-09-30,88222,113784,416035,630127,202006,1046162,504257,743911,1248168
2022-10-31,85145,93809,414835,531151,178954,945986,499980,624960,1124940
2022-11-30,79116,67082,354603,397067,146198,751670,433719,464149,897868
2022-12-31,70442,45661,286614,278827,116103,565441,357056,324488,681544
2023-01-31,55498,37450,219097,242454,92948,461551,274595,279904,554499
2023-02-28,68942,45591,240029,267240,114533,507269,308971,312831,621802
