datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-01,0,2158,0.0,-1,25,33,5512
2020-07-01,0,835,0.0,-1,287,128,879
2020-07-01,0,3436,0.0,-1,113,27,1277
2020-07-01,0,0,0.0,-1,5,0,26
2020-07-02,1,32082,0.0,-1,1233,842,21542
2020-07-02,0,112059,1.0,-1,1054,1988,335173
2020-07-02,0,24489,73.0,-1,1,162,15286
2020-07-02,0,5864,1.0,-1,83,110,26256
2020-07-02,0,64,0.0,-1,40,21,372
2020-07-02,0,268,0.0,-1,109,100,1417
2020-07-03,0,3245,2.0,-1,4949,12545,161133
2020-07-03,0,825,0.0,-1,1605,404,12512
2020-07-03,0,18333,0.0,-1,873,388,44138
2020-07-03,0,93238,2.0,-1,352,779,122802
2020-07-03,9,70764,0.0,-1,20947,22769,59335
2020-07-03,0,2589,2.0,-1,69,177,8521
2020-07-03,0,246042,1.0,-1,298,362,173975
2020-07-03,1,16,5.0,-1,958,5532,52422
2020-07-03,1,5675,0.0,-1,394,56,1983
2020-07-03,0,7334,0.0,-1,52,41,3608
2020-07-03,0,49228,2.0,-1,1565,4917,112183
2020-07-03,0,46663,0.0,-1,6813,6836,46497
2020-07-03,0,32934,0.0,-1,615,212,9466
2020-07-03,0,105902,0.0,-1,7548,9061,69241
2020-07-03,0,63410,0.0,-1,917,798,34510
2020-07-03,0,24799,0.0,-1,304,210,19955
2020-07-03,0,1795,0.0,-1,110,14,773
2020-07-03,0,5021,0.0,-1,485,202,5624
2020-07-04,0,32082,0.0,-1,1233,842,21542
2020-07-04,0,32082,0.0,-1,1233,842,21542
2020-07-04,0,3805,0.0,-1,3048,2939,156794
2020-07-04,2,24587,0.0,-1,1428,1099,9252
2020-07-04,0,158429,0.0,-1,3974,2633,188412
2020-07-04,0,2139,0.0,-1,1328,858,4319
2020-07-04,0,46139,1.0,-1,1677,1679,23894
2020-07-04,0,22552,0.0,-1,194,118,21293
2020-07-04,0,339349,4.0,-1,558,1757,103387
2020-07-04,0,79760,1.0,-1,2472,2476,91148
2020-07-03,0,3004,0.0,-1,79,5,2946
2020-07-04,0,5504,4.0,-1,177,661,5981
2020-07-04,0,251,0.0,-1,149,45,308
2020-07-05,0,10411,116.0,-1,649,72402,53002
2020-07-05,0,34886,1.0,-1,490,639,69861
2020-07-05,0,367,0.0,-1,188,76,278
2020-07-05,0,1301,0.0,-1,1389,1011,1838
2020-07-05,0,2746,1.0,-1,507,555,12727
2020-07-05,0,7169,0.0,-1,3072,1595,14650
2020-07-05,0,23,0.0,-1,35,33,5
2020-07-06,0,12035,0.0,-1,2586,2270,101171
2020-07-06,0,293021,1.0,-1,3731,9689,264828
2020-07-06,0,173703,1.0,-1,8256,9052,166620
2020-07-06,0,63332,1.0,-1,6100,6158,27440
2020-07-06,0,128789,0.0,-1,4898,4403,112735
2020-07-06,0,147682,1.0,-1,10080,10097,191650
2020-07-06,0,330924,0.0,-1,18465,18643,409773
2020-07-06,0,117099,1.0,-1,3270,5984,58743
2020-07-06,0,81075,0.0,-1,20621,20640,79045
2020-07-06,29,15583,2.0,-1,18181,35843,13450
2020-07-06,0,8,1.0,-1,10249,9378,12725
2020-07-06,0,21392,0.0,-1,1663,1513,20440
2020-07-06,0,128247,0.0,-1,22458,20426,122850
2020-07-06,0,46986,0.0,-1,266,278,32212
2020-07-06,0,8042,0.0,-1,1491,1095,5061
2020-07-06,0,115341,0.0,-1,3621,1459,101097
2020-07-07,0,37560,3.0,-1,710,2536,40992
2020-07-07,0,9858,2.0,-1,741,1897,6482
2020-07-07,0,7334,0.0,-1,52,41,3608
2020-07-07,0,110061,0.0,-1,1449,1135,62369
2020-07-08,0,15619,0.0,-1,1050,334,22138
2020-07-08,0,4516,1.0,-1,242,303,11367
2020-07-08,2,26470,27.0,-1,1013,16429,14491
2020-07-08,0,190,0.0,-1,177,11,94
2020-07-08,0,2,0.0,-1,7,6,10
2020-07-09,0,2021,0.0,-1,262,27,1012
2020-07-09,0,5526,0.0,-1,402,221,8321
2020-07-10,0,104151,0.0,-1,886,834,30047
2020-07-11,0,28873,1.0,-1,179,259,18803
2020-07-11,0,33794,2.0,-1,226,482,24469
2020-07-11,0,11463,1.0,-1,181,287,18625
2020-07-11,1,23933,0.0,-1,525,176,8941
2020-07-11,0,109,0.0,-1,546,24,225
2020-07-12,0,1552,0.0,-1,3087,1055,31255
2020-07-12,0,1305,0.0,-1,126,101,3499
2020-07-12,0,452,0.0,-1,1751,1384,31801
2020-07-12,0,134574,0.0,-1,4510,1007,136398
2020-07-12,0,68280,0.0,-1,2240,1583,59517
2020-07-12,1,22735,0.0,-1,784,572,8394
2020-07-12,0,18412,1.0,-1,335,366,20850
2020-07-12,0,3766,1.0,-1,916,1283,13626
