datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-01,0,51836,1.0,0,639,648,32410
2020-07-01,0,0,0.0,0,5,0,26
2020-07-02,0,64,0.0,0,226,193,8551
2020-07-02,0,6285,2.0,0,4487,11139,121599
2020-07-02,0,565,0.0,0,734,495,3193
2020-07-02,0,236,0.0,0,250,116,80
2020-07-02,0,63,11.0,0,161,1815,36737
2020-07-02,0,169,0.0,0,966,488,26936
2020-07-02,0,2386,7.0,0,589,4653,22314
2020-07-02,0,28,3.0,0,459,2054,37404
2020-07-02,0,2505,1.0,0,392,803,3140
2020-07-02,6,984,0.0,0,858,851,38440
2020-07-03,0,46699,3.0,0,230,807,45318
2020-07-03,0,8425,82.0,0,257,239400,37384
2020-07-03,0,28,3.0,0,459,2054,37404
2020-07-03,226,46,62269.0,0,16,1082609,8388
2020-07-03,181,46,62269.0,0,16,1082609,8388
2020-07-03,0,58,0.0,0,557,249,4615
2020-07-03,0,25,1.0,0,980,1244,179981
2020-07-02,0,31367,0.0,0,292,242,20241
2020-07-03,0,1301,123.0,0,493,74904,112338
2020-07-03,0,10,1.0,0,6,6,13
2020-07-04,0,5082,95.0,0,737,70417,71279
2020-07-04,0,79346,5.0,0,350,1890,135793
2020-07-04,0,28,3.0,0,459,2054,37404
2020-07-04,0,49,0.0,0,1927,743,11547
2020-07-04,0,48376,0.0,0,1266,513,16697
2020-07-04,0,20699,0.0,0,266,81,6581
2020-07-04,0,18421,1.0,0,243,265,3099
2020-07-04,0,27071,0.0,0,994,1206,20696
2020-07-05,0,6495,412.0,0,3023,1299984,115604
2020-07-05,3,12939,2.0,0,6298,20870,46931
2020-07-05,0,649,0.0,0,356,331,12270
2020-07-06,0,5712,3.0,0,1232,4717,16230
2020-07-06,0,15259,0.0,0,441,542,48496
2020-07-06,0,7478,0.0,0,806,791,23211
2020-07-06,4,811,0.0,0,3080,3079,42316
2020-07-06,1,143511,46.0,0,782,38256,2018
2020-07-06,1,8124,97.0,0,511,56716,54571
2020-07-06,0,3504,1.0,0,333,491,2069
