datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-31,284,19619144,8671.645161290322,-416,1016121,6533603,26583804
2020-08-31,292,7532493,5695.0,-264,231936,8789305,10371200
2020-09-30,71,5161226,7040.5555083583,-131,149975,4976325,8195417
2020-10-31,360,3134388,10788.830491233153,-110,163432,3416142,5564928
2020-11-30,24,1188843,10460.050732666346,-35,35415,9109159,2356052
2020-12-31,1192,3229639,5378.344026259564,-66,133738,2678255,5892413
2021-01-31,63,2055075,2303.254364217129,-41,69396,714958,2174596
2021-02-28,47,2192978,1534.0207457807653,-69,74755,3192607,4612260
2021-03-31,175,3246583,471.304736610756,-86,83056,319988,3282253
2021-04-30,51,2415003,308.5770163934372,-66,81889,2406465,3948478
2021-05-31,98,3940115,7260.342973367943,-143,181881,7366322,7636679
2021-06-30,78,3697101,1468.9335457240302,-128,145440,1713704,5316799
2021-07-31,437,12719643,41131.16142263641,-333,402088,10124816,17541510
2021-08-31,898,36704757,65779.64046461023,-1033,1527959,62448162,85003253
2021-09-30,46,4637102,5402.886155828273,-118,140374,3577914,8200643
2021-10-31,47,3295350,1446.7202069308355,-105,143931,5212961,4780644
2021-11-30,38,3413437,3783.004166831398,-94,93064,2312331,3777068
2021-12-31,39,4652782,1906.073533383486,-109,127959,1623148,7922376
2022-01-31,2374,73947621,124783.2061342535,-1648,2358087,64379829,118796409
2022-02-28,2069,103899673,995599.2736298882,-1661,2760624,25797849,134081724
2022-03-31,21,919747,7542.795032449749,-55,59086,981114,2233249
2022-04-30,7,749376,271.9764753155195,-25,34571,289434,2015707
2022-05-31,48,7241399,1327.1950869213636,-198,169623,1021389,8166757
2022-06-30,49,3322481,1785.0836691396723,-87,106740,1792558,5258457
2022-07-31,47,3403956,729.7681306999322,-113,93889,408041,3222010
2022-08-31,93,8047981,1026.8784484616588,-157,199649,1044508,9494798
2022-09-30,15,3197935,72.52446087721466,-52,68069,81363,2641459
2022-10-31,30,5691047,1178.5815634588646,-90,147972,3160127,7206909
2022-11-30,14,2036197,131.81893556776024,-47,35124,222975,1907497
2022-12-31,114,7417696,2455.9301753975255,-99,99450,2072999,6697189
2023-01-31,296,15833262,81285.51718270902,-381,350877,65174065,31217084
2023-02-28,84,6874058,36900.985979210236,-201,253945,36115493,23235310
