datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-31,786,104332066,27710.945583740307,1963,3324232,24642374,150667847
2020-08-31,764,48791717,48496.39536747103,1340,1862856,14464535,68138378
2020-09-30,352,18367392,11116.241931667568,647,1107025,6454970,32156709
2020-10-31,193,20656204,8110.715201046296,557,850339,5547495,30190790
2020-11-30,115,6468907,1233.2919251312233,284,343811,893637,8255148
2020-12-31,235,57401271,22833.401742454196,920,1527126,12665634,68735450
2021-01-31,1543,54348592,10093.876880123997,1107,1608225,8427599,60521279
2021-02-28,212,11528608,5664.020897137557,337,556939,1496638,13614204
2021-03-31,271,17002539,2195.6195266792047,501,668343,1611891,20068384
2021-04-30,203,13457498,4256.681476400259,367,556220,2909903,18951711
2021-05-31,388,40655483,47451.701243267555,867,1153742,10887722,44996830
2021-06-30,893,64260902,37547.190011014456,1257,1851555,14882368,71313379
2021-07-31,5404,484260442,247788.32516384454,7768,9905041,81705831,493355649
2021-08-31,1508,191306753,122470.76298502095,3153,3292132,82428920,176483299
2021-09-30,1359,116441307,59868.02831921004,1908,2207796,26093407,104480194
2021-10-31,3706,65429393,27097.67335753792,1082,1414055,13892319,64054227
2021-11-30,546,48942397,18697.245471218423,964,1182985,7738804,51803209
2021-12-31,2994,221326795,99909.44895463965,3932,4228424,47700820,228418811
2022-01-31,17837,1199628617,891241.2670573406,22418,30405518,455050295,1472443881
2022-02-28,2696,266608856,257677.91643915558,5070,7260012,103125855,344887014
2022-03-31,1437,76920452,93691.36640859487,1931,2552906,24424167,97656975
2022-04-30,803,41510040,27418.9329507041,1386,2129886,15446298,53478506
2022-05-31,1748,133472165,156259.7196044219,3322,3756877,33953469,166476179
2022-06-30,1208,93106626,109637.34744305587,2003,2377233,40085320,111817243
2022-07-31,1390,119118414,250538.8744395907,2515,2930144,40454158,142693172
2022-08-31,2014,150878438,100336.92961623879,2582,3154325,18245374,159719756
2022-09-30,536,62800758,38958.134519478815,1188,1806006,16767375,81288900
2022-10-31,1080,87962645,140999.9235681872,1839,2389710,76440242,142747999
2022-11-30,838,56350701,47118.43256638625,1331,1644662,31166570,87942180
2022-12-31,990,67277967,110936.97540498943,1415,1713287,40479351,94101498
2023-01-31,6959,424607667,449157.39682487905,7584,10427460,197552779,581177593
2023-02-28,2204,172025684,434248.1494178045,3598,4872785,239316481,327566415
