Fecha,Españoles_V,Extranjeros_V
2023M02,"68,942","45,591"
2023M01,"55,498","37,450"
2022M12,"70,442","45,661"
2022M11,"79,116","67,082"
2022M10,"85,145","93,809"
2022M09,"88,222","113,784"
2022M08,"153,078","132,341"
2022M07,"151,627","119,064"
2022M06,"107,781","114,942"
2022M05,"79,214","113,170"
2022M04,"98,112","92,943"
2022M03,"57,114","63,207"
2022M02,"53,645","30,898"
2022M01,"18,161","15,272"
2021M12,"42,706","21,606"
2021M11,"39,001","41,003"
2021M10,"80,709","55,720"
2021M09,"90,940","43,978"
2021M08,"180,727","55,637"
2021M07,"144,452","30,684"
2021M06,"85,539","12,968"
2021M05,"39,307","5,927"
2021M04,"16,394","1,372"
2021M03,"7,951",867
2021M02,.,.
2021M01,"2,713",590
2020M12,"11,737","2,083"
2020M11,"9,851","2,434"
2020M10,"33,428","8,286"
2020M09,"43,076","8,985"
2020M08,"85,604","22,066"
2020M07,"48,634","15,304"
